Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
best vapes uk,Commercial,590,27,0.00,0.00,0,2,61,19,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,12500000
blu bar kit,Informational,590,18,0.00,0.03,0,66,11,50,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/products/blu-bar-vape-kit,https://www.totallywicked-eliquid.co.uk/,48400000
blu disposable vape,Informational,590,17,0.00,0.00,0,78,17,64,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/blu-bar,https://www.totallywicked-eliquid.co.uk/,1690000
can i take an electronic cigarette on a plane,Informational,590,30,0.00,0.00,0,87,49,22,,https://vapeuk.co.uk/blog/guide-to-travelling-abroad-with-vapes,https://www.vapeshop.co.uk/blogs/news/can-you-take-vapes-on-a-plane,https://www.totallywicked-eliquid.co.uk/vaped/vaping-on-holiday-2025/,10600000
can you still buy disposable vapes,Informational,590,33,0.00,0.00,0,24,7,36,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/disposable-vape-alternatives-preparing-for-the-ban/,17600000
cl6000 pods,"Commercial, Informational",590,9,0.00,0.02,0,3,6,36,,https://vapeuk.co.uk/ske-crystal-cl6000-prefilled-pods,https://www.vapeshop.co.uk/collections/ske-crystal-cl6000,https://www.totallywicked-eliquid.co.uk/,161000
crystal 4 in 1 pods refill,"Commercial, Informational",590,9,0.24,0.34,0,1,19,16,,https://vapeuk.co.uk/ske-crystal-4in1-prefilled-vape-pods,https://www.vapeshop.co.uk/products/ske-crystal-4in1-prefilled-pod-kit,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,1630000
crystal bar pods,"Commercial, Informational",590,13,0.00,0.75,0,4,7,5,,https://vapeuk.co.uk/ske-crystal-plus-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/ske-crystal-pod-kits,10100000
crystal cl6000 pods,"Commercial, Informational",590,7,0.00,0.12,0,2,3,76,,https://vapeuk.co.uk/ske-crystal-cl6000-prefilled-pods,https://www.vapeshop.co.uk/collections/ske-crystal-cl6000,https://www.totallywicked-eliquid.co.uk/,154000
crystal menthol,Informational,590,18,0.24,1.00,0,47,92,72,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,7710000
crystal plus pods,Informational,590,16,0.00,0.87,0,2,8,34,,https://vapeuk.co.uk/ske-crystal-plus-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/ske-crystal-pod-kits,11400000
dojo vape pods,Informational,590,7,0.00,0.00,0,1,22,66,,https://vapeuk.co.uk/vaporesso-dojo-blast-10k-prefilled-pods,https://www.vapeshop.co.uk/collections/vaporesso-dojo-blast,https://www.totallywicked-eliquid.co.uk/,97
e vapes,Commercial,590,87,0.00,0.00,0,2,37,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,18700000
eco vape,"Commercial, Navigational",590,31,0.00,0.00,0,21,43,46,,https://vapeuk.co.uk/smok-novo-eco-pod-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,9110000
eleaf vape,Informational,590,8,0.00,0.00,0,17,18,8,,https://vapeuk.co.uk/vendors/eleaf,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/brands/eleaf,10
elf bar refill pods,"Commercial, Informational",590,25,0.00,0.00,0,3,29,5,,https://vapeuk.co.uk/elf-bar-600-prefilled-pods,https://www.vapeshop.co.uk/collections/elf-bar-refillable-vape-pods,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,9
elf bar refillable pod,Informational,590,14,0.00,0.00,0,7,35,3,,https://vapeuk.co.uk/elf-bar-600-prefilled-pods,https://www.vapeshop.co.uk/collections/elf-bar-refillable-vape-pods,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,2250000
elf bar v2,"Commercial, Informational",590,16,0.00,0.00,0,2,54,4,,https://vapeuk.co.uk/elf-bar-600-v2-disposable-vape-kit,https://www.vapeshop.co.uk/products/elf-turbo-ice-elf-bar-600-v2-disposable-device,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,5430000
elf liquid,"Commercial, Informational",590,28,0.00,0.49,0,6,42,10,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elfliq-elfbar-eliquid,https://www.totallywicked-eliquid.co.uk/,50100000
elfbar af5000 pods,"Informational, Transactional",590,10,0.00,0.00,0,31,77,1,,https://vapeuk.co.uk/elf-bar-af5000-disposable-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,86
found mary vape,"Commercial, Informational",590,9,0.00,0.00,0,35,33,23,,https://vapeuk.co.uk/lost-mary-bm6000-disposable-vape-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,13100000
hayati liquids,"Commercial, Informational",590,11,0.00,0.40,0,2,39,9,,https://vapeuk.co.uk/e-liquids/hayati-pro-max-nic-salt-e-liquid,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,98
hayati pro ultra refill,"Informational, Transactional",590,9,0.00,0.15,0,1,3,76,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-refill-containers,https://www.vapeshop.co.uk/collections/hayati-pro-ultra-plus,https://www.totallywicked-eliquid.co.uk/,10
hayati ultra,"Commercial, Informational",590,19,0.00,0.04,0,1,6,75,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-mini-ultra,https://www.totallywicked-eliquid.co.uk/,9450000
hayati vape flavours,"Commercial, Informational",590,7,0.00,0.00,0,8,15,60,,https://vapeuk.co.uk/e-liquids/hayati-pro-max-nic-salt-e-liquid,https://www.vapeshop.co.uk/collections/hayati-pro-max,https://www.totallywicked-eliquid.co.uk/,984000
how much are vapes,"Commercial, Informational",590,40,0.00,0.00,0,9,6,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/disposable-vape,10
how much do vapes cost,Informational,590,23,0.00,0.00,0,18,41,5,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,20200000
ivg 2400 replacement pods,"Commercial, Informational",590,8,0.00,0.00,0,1,16,6,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,https://www.vapeshop.co.uk/products/watermelon-edition-ivg-2400-refill-pods,https://www.totallywicked-eliquid.co.uk/ivg-2400-reload-pod-x-4,78
ivg 2400 vape,Informational,590,17,0.00,0.00,0,5,25,2,,https://vapeuk.co.uk/ivg-2400-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/products/ivg-2400-rechargeable-vape-kit,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,1220000
ivg smart refill pods,Commercial,590,15,0.00,0.58,0,9,19,68,,https://vapeuk.co.uk/ivg-smart-max-prefilled-pod-kit,https://www.vapeshop.co.uk/products/polar-mint-ivg-smart-max-refill-pack,https://www.totallywicked-eliquid.co.uk/,367000
ivg2400,"Commercial, Informational",590,13,0.00,0.68,0,5,13,1,,https://vapeuk.co.uk/ivg-2400-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/ivg-2400,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,327000
juul 2 pods,Transactional,590,19,0.00,0.00,0,28,20,41,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/products/juul2-crisp-menthol,https://www.totallywicked-eliquid.co.uk/,2830000
juul starter kit,Informational,590,22,0.00,0.00,0,18,21,28,,https://vapeuk.co.uk/vape-kits/vape-starter-kits,https://www.vapeshop.co.uk/collections/juul,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/starter-kits,1620000
lemon and lime vape,Informational,590,7,0.00,0.00,0,10,19,3,,https://vapeuk.co.uk/elf-bar-elfliq-lemon-lime-nic-salt,https://www.vapeshop.co.uk/products/lemon-lime-nic-salt-by-ske-crystal-10ml,https://www.totallywicked-eliquid.co.uk/lemon-lime-lost-mary-bm6000-kit,0
lost mart,Navigational,590,34,0.00,0.00,0,5,11,3,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,207000000
lost mary bm6000 flavours,Informational,590,20,0.00,0.19,0,12,24,8,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,242000
lost mary pods bm6000,"Commercial, Informational",590,17,0.00,0.00,0,5,14,4,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refill,283000
lost mary strawberry ice,Informational,590,9,0.00,0.00,0,9,10,3,,https://vapeuk.co.uk/lost-mary-maryliq-strawberry-ice-nic-salt,https://www.vapeshop.co.uk/products/strawberry-ice-lost-mary-4in1-pods,https://www.totallywicked-eliquid.co.uk/strawberry-ice-lost-mary-bm6000-kit,8800000
lost mary vape flavours,Commercial,590,30,0.00,0.00,0,6,32,1,,https://vapeuk.co.uk/e-liquids/lost-mary-maryliq-nic-salts,https://www.vapeshop.co.uk/collections/lost-mary-bm600,https://www.totallywicked-eliquid.co.uk/brands/lost-mary?p=2,1730000
lost mary vape juice,Commercial,590,21,0.00,0.00,0,3,14,16,,https://vapeuk.co.uk/e-liquids/lost-mary-nic-salts,https://www.vapeshop.co.uk/collections/maryliq-nic-salts-by-lost-mary,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,0
no nic vape,"Commercial, Informational",590,14,0.00,0.00,0,7,88,32,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/,10
no nicotine vapes,Informational,590,15,0.00,0.00,0,2,88,37,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,54200000
online vape store,Commercial,590,86,0.00,0.00,0,4,14,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
oxva vape pod,"Commercial, Informational",590,7,0.00,0.00,0,1,17,73,,https://vapeuk.co.uk/oxva-xlim-v3-replacement-pods,https://www.vapeshop.co.uk/collections/oxva,https://www.totallywicked-eliquid.co.uk/,10
pixl 6000 pods,Commercial,590,9,0.00,0.00,0,10,13,9,,https://vapeuk.co.uk/pixl-duo-6k-disposable-vape-kit,https://www.vapeshop.co.uk/collections/pixl-duo-12,https://www.totallywicked-eliquid.co.uk/pixl-duo-12-refill,545000
pod vape kit,Commercial,590,17,0.00,0.00,0,1,30,9,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/pod-and-compact-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/totally-wicked-pod-kits,15400000
recharge lost mary,Informational,590,15,0.00,0.12,0,8,22,2,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/lost-mary-pod-kits,3800000
rechargeable lost mary,"Commercial, Informational",590,14,0.00,0.12,0,12,15,1,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/lost-mary-pod-kits,2850000
ske crystal 4in1,Informational,590,27,0.00,0.21,0,2,5,3,,https://vapeuk.co.uk/ske-crystal-4in1-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/ske-crystal-4in1,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,971000
vape 88 liquid,"Navigational, Transactional",590,20,0.00,0.00,0,55,69,32,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,5350000
vape alternative uk,"Commercial, Informational",590,10,0.00,0.00,0,8,26,15,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives?p=2,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/,10100000
vape bar,Commercial,590,28,0.00,0.00,0,3,15,23,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/,88300000
vape flavour,Commercial,590,49,0.00,0.00,0,26,19,12,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/pages/e-liquid-flavours,https://www.totallywicked-eliquid.co.uk/e-liquids,12300000
vape juice flavors,Informational,590,26,0.00,0.00,0,7,19,6,,https://vapeuk.co.uk/blog/how-to-decide-on-a-vape-juice-flavour,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids,10
vape juice near me,Transactional,590,37,0.00,0.00,0,15,6,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/stores,27800000
vape machine,Commercial,590,37,0.00,0.00,0,12,22,7,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/pod-and-compact-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,46500000
vape news,Informational,590,47,0.00,0.00,0,3,15,72,,https://vapeuk.co.uk/blog,https://www.vapeshop.co.uk/blogs/news,https://www.totallywicked-eliquid.co.uk/vaped/category/news/,117000000
vape next day delivery,Commercial,590,71,0.00,0.00,0,1,29,11,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/delivery,https://www.totallywicked-eliquid.co.uk/,40600000
vape price,Commercial,590,87,0.00,0.00,0,7,3,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,49300000
vape ul,Navigational,590,100,0.00,0.00,0,1,21,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,108000000
vapekit uk,Navigational,590,73,0.00,0.00,0,4,13,18,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,2090000
vapes direct,"Commercial, Navigational",590,43,0.00,0.00,0,17,92,85,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,9770000
vapor charger,"Informational, Transactional",590,8,0.00,0.02,0,13,1,2,,https://vapeuk.co.uk/vape-accessories/vape-chargers-cables-plugs,https://www.vapeshop.co.uk/collections/chargers,https://www.totallywicked-eliquid.co.uk/vaping-accessories/chargers,10
vapor store,Commercial,590,92,0.00,0.00,0,2,18,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,82000000
vapresso pods,"Commercial, Informational",590,9,0.00,0.00,0,11,28,89,,https://vapeuk.co.uk/vaporesso-xros-corex-2-0-replacement-pods,https://www.vapeshop.co.uk/collections/vaporesso-vape-pods,https://www.totallywicked-eliquid.co.uk/,6830000
voopoo drag 2,"Commercial, Informational",590,12,0.00,0.00,0,2,33,89,,https://vapeuk.co.uk/voopoo-drag-s2-pod-vape-kit,https://www.vapeshop.co.uk/products/voopoo-drag-x2-kit,https://www.totallywicked-eliquid.co.uk/,2470000
vuse pod,"Informational, Transactional",590,20,1.09,0.95,0,47,3,70,,https://vapeuk.co.uk/vuse-epod-nic-salt-e-liquid-pods,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,2430000
watermelon ice vape,Informational,590,9,0.00,0.00,0,7,15,1,,https://vapeuk.co.uk/lost-mary-maryliq-watermelon-ice-nic-salt,https://www.vapeshop.co.uk/products/watermelon-ice-by-vape-district-100ml,https://www.totallywicked-eliquid.co.uk/ske-600-pro-kit-watermelon-ice,7330000
watermelon vape,Informational,590,10,0.00,0.00,0,20,14,10,,https://vapeuk.co.uk/elf-bar-elfliq-nic-salt-watermelon,https://www.vapeshop.co.uk/products/watermelon-ice-ivg-2400-disposable-device,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types/watermelon,12100000
what is the best vape to buy,Commercial,590,16,0.00,0.00,0,6,63,5,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,109000000
xlim pods,"Commercial, Informational",590,19,0.38,0.96,0,1,21,84,,https://vapeuk.co.uk/oxva-xlim-v3-replacement-pods,https://www.vapeshop.co.uk/products/oxva-nexlim-pods,https://www.totallywicked-eliquid.co.uk/,1840000
zero nicotine disposable vape,"Commercial, Informational",590,11,0.00,0.00,0,1,86,68,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/,4110000
0 nicotine vape juice,"Commercial, Informational",480,8,0.00,0.00,0,52,35,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,9100000
10k vapes,"Commercial, Informational",480,12,0.00,0.00,0,10,35,39,,https://vapeuk.co.uk/elf-bar-dual-10k-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/,2070000
15000 puff disposable vape,Commercial,480,29,0.00,0.00,0,43,89,35,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,https://www.totallywicked-eliquid.co.uk/,1950000
2400/4,Informational,480,19,0.00,0.00,0,9,37,2,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,https://www.vapeshop.co.uk/products/ivg-2400-rechargeable-vape-kit,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,724000
4 flavour vape,Informational,480,16,0.00,0.00,0,20,21,1,,https://vapeuk.co.uk/pod-vape-kits/4-in-1-vapes,https://www.vapeshop.co.uk/collections/ivg-2400,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,10100000
argus voopoo,Informational,480,18,0.00,0.01,0,6,13,66,,https://vapeuk.co.uk/voopoo-argus-g2-pod-vape-kit,https://www.vapeshop.co.uk/collections/voopoo,https://www.totallywicked-eliquid.co.uk/,2530000
banana ice vape,Informational,480,9,0.00,0.00,0,13,62,23,,https://vapeuk.co.uk/elf-bar-elfliq-banana-ice-nic-salt,https://www.vapeshop.co.uk/products/banana-ice-double-drip-disposable-vape,https://www.totallywicked-eliquid.co.uk/vltz-e-liquid-banana-ice,7220000
bar juice flavours,Informational,480,27,0.00,0.18,0,11,34,77,,https://vapeuk.co.uk/e-liquids/bar-juice-5000-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/bar-juice-5000-nic-salt-eliquid,https://www.totallywicked-eliquid.co.uk/,39100000
best rechargeable vapes,Commercial,480,26,0.00,0.00,0,3,42,28,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/blogs/news/disposable-vapes-verses-rechargeable-vapes,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/lost-mary-pod-kits,4370000
best vape juice uk,Commercial,480,27,0.00,0.00,0,1,23,9,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/blogs/news/top-ten-best-flavour-vape-juices-in-the-uk,https://www.totallywicked-eliquid.co.uk/,7740000
best vape liquid uk,Commercial,480,35,0.00,0.00,0,1,27,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/blogs/news/top-ten-best-flavour-vape-juices-in-the-uk,https://www.totallywicked-eliquid.co.uk/,11800000
black friday vape deals,Informational,480,6,0.00,0.00,0,25,58,4,,https://vapeuk.co.uk/black-friday-vape-deals,https://www.vapeshop.co.uk/collections/all-clearance,https://www.totallywicked-eliquid.co.uk/black-friday-vape-deals,24500000
bm6000 lost mary,Informational,480,8,0.00,0.71,0,3,30,2,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,204000
cape tank,Commercial,480,13,0.00,0.00,0,18,19,2,,https://vapeuk.co.uk/vape-tanks,https://www.vapeshop.co.uk/collections/sub-ohm-tanks,https://www.totallywicked-eliquid.co.uk/e-cig-tanks,10
cheap vapes uk,Commercial,480,84,0.00,0.00,0,1,2,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,14700000
cheapest vape,Commercial,480,37,0.00,0.00,0,6,2,32,,https://vapeuk.co.uk/vape-kits/cheap-vapes,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
cherry ice crystal bar,"Commercial, Informational",480,8,0.00,0.03,0,69,29,4,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/ske,https://www.totallywicked-eliquid.co.uk/ske-600-pro-kit-cherry-ice,22500000
cherry ice vape,Informational,480,10,0.00,0.00,0,7,4,1,,https://vapeuk.co.uk/lost-mary-maryliq-cherry-ice-nic-salt,https://www.vapeshop.co.uk/collections/ske,https://www.totallywicked-eliquid.co.uk/ske-600-pro-kit-cherry-ice,10200000
cigarette shop,Commercial,480,53,0.00,0.00,0,40,46,26,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,226000000
crystal 4 in 1 vape,Informational,480,12,0.00,0.00,0,2,7,3,,https://vapeuk.co.uk/ske-crystal-4in1-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/ske-crystal-4in1,https://www.totallywicked-eliquid.co.uk/ske-crystal-4-in-1-green-edition,12500000
crystal 4in1,"Commercial, Informational",480,11,0.00,0.02,0,2,3,5,,https://vapeuk.co.uk/ske-crystal-4in1-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/ske-crystal-4in1,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,20100000
crystal 600,"Commercial, Informational",480,11,0.00,0.06,0,3,26,10,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/ske-600-pro-kit-lemon-lime,195000000
crystal cl6000 refill,"Commercial, Informational",480,9,0.00,0.04,0,2,26,81,,https://vapeuk.co.uk/ske-crystal-cl6000-prefilled-pods,https://www.vapeshop.co.uk/collections/ske-crystal-cl6000,https://www.totallywicked-eliquid.co.uk/,146000
crystal disposable vape,"Commercial, Informational",480,14,0.00,0.00,0,6,21,11,,https://vapeuk.co.uk/blog/ske-crystal-your-best-disposable-vape-alternative-options,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/ske-crystal-bar-disposable,4760000
crystal liquid,"Commercial, Informational",480,8,0.00,0.04,0,25,26,66,,https://vapeuk.co.uk/e-liquids/ske-crystal-original-salts,https://www.vapeshop.co.uk/collections/ske-crystal-nic-salts-eliquid,https://www.totallywicked-eliquid.co.uk/,392000000
crystal refillable vape,"Commercial, Informational",480,20,0.00,0.00,0,1,8,12,,https://vapeuk.co.uk/ske-crystal-plus-refillable-pod-vape-kit,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,1590000
disposable vapes near me,Transactional,480,48,0.00,0.00,0,12,3,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,15100000
disposible,Informational,480,53,2.31,0.17,0,22,15,11,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,330000000
e cig online,"Commercial, Informational",480,86,0.00,0.00,0,3,28,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,149000000
e liquid vape,"Commercial, Informational",480,43,0.00,0.00,0,1,23,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
electric vape,Commercial,480,44,0.00,0.00,0,14,50,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,148000000
electronic cigarette blue,Informational,480,24,0.00,0.01,0,29,54,42,,https://vapeuk.co.uk/geekvape-sonder-q-pod-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,162000000
electronic cigarette near me,Transactional,480,69,0.00,0.00,0,14,36,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/vape-shop-outlet-coventry-city-centre,https://www.totallywicked-eliquid.co.uk/,235000000
electronic cigarette shop,"Commercial, Navigational",480,97,0.00,0.00,0,10,35,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,124000000
electronic liquids,"Commercial, Informational",480,64,0.00,0.00,0,1,49,5,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/6mg,https://www.totallywicked-eliquid.co.uk/,879000000
elf bar 600 pods,"Commercial, Informational",480,10,0.00,0.00,0,1,42,4,,https://vapeuk.co.uk/elf-bar-600-prefilled-pods,https://www.vapeshop.co.uk/collections/elfbar-600,https://www.totallywicked-eliquid.co.uk/vape-pods/elf-bar-pre-filled-pods,1610000
elf bar 600 refillable pods,Informational,480,7,0.00,0.00,0,1,55,6,,https://vapeuk.co.uk/elf-bar-600-prefilled-pods,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vape-pods/elf-bar-pre-filled-pods,10
