Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeclub.co.uk,vapestore.co.uk,vapeshop.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeclub.co.uk (pages),vapestore.co.uk (pages),vapeshop.co.uk (pages),Results
mrblue,Informational,390,42,0.00,0.02,0,73,81,0,0,,https://vapeuk.co.uk/pyne-pod-click-50k-prefilled-pod-kit,https://www.vapeclub.co.uk/e-liquids/4-for-10-deals/,,,7100000
my blu,Navigational,390,28,0.00,0.01,0,0,5,0,15,,,https://www.vapeclub.co.uk/e-liquids/my-blu/,,https://www.vapeshop.co.uk/collections/myblu,1270000000
my orders history,Informational,390,38,0.41,0.00,0,0,47,0,0,,,https://www.vapeclub.co.uk/members/myAccount/orderHistory/,,,3840000000
nebula vape,Navigational,390,16,0.00,0.00,0,0,0,28,0,,,,https://www.vapestore.co.uk/,,818000
newvape,Informational,390,13,0.00,0.00,0,11,33,12,9,,https://vapeuk.co.uk/new-products/new-vape-kits,https://www.vapeclub.co.uk/new-products/,https://www.vapestore.co.uk/collections/whats-new,https://www.vapeshop.co.uk/collections/new-vape-kits,94
next day vapes,Transactional,390,72,0.00,0.00,0,1,3,6,35,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/disposable-vape,https://www.vapeshop.co.uk/pages/delivery,17100000
next uk sales,Transactional,390,60,0.59,1.00,0,87,0,0,0,,https://vapeuk.co.uk/,,,,1790000000
nic ice ltd,Commercial,390,16,0.00,0.00,0,62,49,0,0,,https://vapeuk.co.uk/zeus-juice-bar-liq-peach-ice-nic-salt,https://www.vapeclub.co.uk/,,,5200000
nic salts uk,Commercial,390,36,0.00,0.00,0,1,3,11,13,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeclub.co.uk/e-liquids/salt-nicotine/,https://www.vapestore.co.uk/collections/e-liquid-vape-type-nicotine-salts-e-liquid,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,2320000
nicnic shots,"Commercial, Informational",390,17,0.00,0.00,0,2,1,0,0,,https://vapeuk.co.uk/e-liquids/shortfill-e-liquids/nicotine-shots,https://www.vapeclub.co.uk/e-liquids/nicotine-shots/,,,43300
nicotine free vape juice,"Commercial, Informational",390,10,0.00,0.00,0,20,6,4,10,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/0mg-nicotine-free/,https://www.vapestore.co.uk/collections/e-liquid-nicotine-free,https://www.vapeshop.co.uk/collections/0mg,9270000
no nic vapes,"Commercial, Informational",390,11,0.00,0.00,0,2,11,31,81,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/pages/disposable-vape-ban-june,https://www.vapeshop.co.uk/collections/0mg,42100000
nord 5,Commercial,390,18,0.28,0.06,0,2,13,5,27,,https://vapeuk.co.uk/smok-nord-5-pod-mod-kit,https://www.vapeclub.co.uk/vape-pods/smok/smok-nord-5-vape-kit,https://www.vapestore.co.uk/products/smok-nord-5-pod-kit-80w,https://www.vapeshop.co.uk/products/smok-nord-5-vape-kit,467000000
nordic pouches,"Informational, Transactional",390,9,2.15,1.00,0,19,8,5,87,,https://vapeuk.co.uk/nordic-spirit-nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/nordic-spirit/,https://www.vapestore.co.uk/collections/brands-nordic-spirit-nicotine-pouches,https://www.vapeshop.co.uk/,0
online vape,Informational,390,85,0.00,0.00,0,3,4,2,20,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,158000000
online vape shop uk,Commercial,390,86,0.00,0.00,0,1,4,2,14,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,17800000
online vaping shops,Informational,390,86,0.00,0.00,0,2,5,1,26,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,14900000
ox spirit level,"Commercial, Informational",390,9,0.22,1.00,0,0,77,0,0,,,https://www.vapeclub.co.uk/,,,13100000
ox vape,"Informational, Transactional",390,29,0.00,0.00,0,10,5,13,0,,https://vapeuk.co.uk/vape-kits/oxva-vape-kits,https://www.vapeclub.co.uk/vape-kits/oxva/,https://www.vapestore.co.uk/collections/brands-oxva,,2380000
oxva slim,Commercial,390,22,0.55,0.13,0,5,10,9,15,,https://vapeuk.co.uk/oxva-xlim-classic-edition-pod-kit,https://www.vapeclub.co.uk/vape-kits/oxva/,https://www.vapestore.co.uk/products/oxva-xlim-pod-vape-kit,https://www.vapeshop.co.uk/collections/oxva-slim-stick,1490000
oxva vprime pods,"Commercial, Informational",390,9,0.00,0.01,0,1,27,31,76,,https://vapeuk.co.uk/oxva-vprime-replacement-pod-cartridges,https://www.vapeclub.co.uk/vape-kits/oxva/oxva-vprime-vape-kit,https://www.vapestore.co.uk/products/oxva-vprime-replacement-pods-2ml,https://www.vapeshop.co.uk/products/oxva-vprime-replacement-pods,308000
pacha shop,"Commercial, Navigational",390,28,0.25,1.00,0,47,0,0,0,,https://vapeuk.co.uk/zeus-juice-bar-liq-sour-cherry-apple-nic-salt,,,,67
parcel delivery time royal mail,Informational,390,39,0.00,0.00,0,55,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,11100000
passion fruit passion,Informational,390,44,0.49,0.87,0,0,0,63,0,,,,https://www.vapestore.co.uk/products/frukt-cyder-passion-fruit-100ml-e-liquid,,193000000
pax 3 vaporizer,Informational,390,16,0.00,0.00,0,0,0,0,36,,,,,https://www.vapeshop.co.uk/collections/pax,3700000
paypal for business uk,Navigational,390,45,9.52,0.67,0,0,83,0,0,,,https://www.vapeclub.co.uk/,,,77100000
paypal refer a friend,Informational,390,15,0.00,0.00,0,0,91,0,0,,,https://www.vapeclub.co.uk/,,,28200000
pe1 5ys,"Informational, Transactional",390,18,0.00,0.12,0,0,0,0,57,,,,,https://www.vapeshop.co.uk/pages/contact-us,5680
pear drop,Informational,390,8,0.33,0.99,0,0,0,0,82,,,,,https://www.vapeshop.co.uk/products/vampire-vape-pear-drops,10
pen pineapple apple,"Informational, Transactional",390,56,0.00,0.01,0,92,98,0,0,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,10500000
pineapple ice vape,Informational,390,9,0.00,0.00,0,38,1,39,37,,https://vapeuk.co.uk/bar-juice-5000-pineapple-ice-nic-salt,https://www.vapeclub.co.uk/e-liquids/maryliq/lost-mary-pineapple-ice-nic-salt-e-liquid,https://www.vapestore.co.uk/products/ske-crystal-pineapple-ice-nic-salt-e-liquid,https://www.vapeshop.co.uk/products/pineapple-ice-by-vampire-vape-10ml,5920000
pink cigarette,"Informational, Transactional",390,22,0.00,0.00,0,36,0,0,0,,https://vapeuk.co.uk/,,,,10
pink kiwi fruit,Informational,390,17,0.00,0.04,0,86,88,0,0,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/bm6000-refill-packs/,,,42900000
pink lemonade london,Informational,390,27,0.00,0.00,0,49,0,0,0,,https://vapeuk.co.uk/,,,,17000000
pixl 6000 vape instructions,Informational,390,8,0.00,0.00,0,22,3,0,0,,https://vapeuk.co.uk/pixl-6000-disposable-kit,https://www.vapeclub.co.uk/vape-kits/pixl/pixl-6000-disposable-vape-kit,,,92
pixl duo,"Commercial, Informational",390,15,0.00,0.00,0,1,4,50,12,,https://vapeuk.co.uk/pixl-duo-6k-disposable-vape-kit,https://www.vapeclub.co.uk/vape-kits/pixl/pixl-duo-6000-vape-kit,https://www.vapestore.co.uk/collections/brands-pixl-duo-12-prefilled-pods,https://www.vapeshop.co.uk/collections/pixl-duo-12,98
pixl vapes,Commercial,390,9,0.00,0.00,0,16,2,14,15,,https://vapeuk.co.uk/pixl-duo-6k-disposable-vape-kit,https://www.vapeclub.co.uk/vape-kits/pixl/pixl-8000-vape-kit,https://www.vapestore.co.uk/collections/brands-pixl,https://www.vapeshop.co.uk/collections/pixl-duo-12,99
plug in refills,"Commercial, Informational",390,13,0.37,1.00,0,0,92,0,0,,,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,12700000
pnp coils,"Commercial, Informational",390,16,0.00,0.00,0,3,4,5,90,,https://vapeuk.co.uk/voopoo-pnp-coils-drag-trio-kit,https://www.vapeclub.co.uk/vape-coils/voopoo/drag-baby-trio,https://www.vapestore.co.uk/products/voopoo-coils-pnp-5-pack,https://www.vapeshop.co.uk/,1620000
power pod,"Informational, Transactional",390,6,0.00,0.12,0,36,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,,,,330000000
pro max vape,"Commercial, Informational",390,20,0.00,0.00,0,32,4,0,2,,https://vapeuk.co.uk/hawcos-x-lost-mary-pro-max-7000-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/hyola/hyola-pro-max-8000-vape-kit,,https://www.vapeshop.co.uk/collections/hayati-pro-max,20200000
pro x pro,"Informational, Transactional",390,36,0.00,0.07,0,64,63,0,0,,https://vapeuk.co.uk/vaporesso-luxe-x-pro-pod-vape-kit,https://www.vapeclub.co.uk/vape-pods/vaporesso/vaporesso-luxe-x-pro-vape-kit,,,8450000000
proud mary's,Informational,390,22,0.00,0.01,0,0,69,0,0,,,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,15400000
puff candy,Informational,390,8,0.00,0.44,0,37,0,42,0,,https://vapeuk.co.uk/moreish-puff-candy-drops-grape-strawberry-e-liquid,,https://www.vapestore.co.uk/products/moreish-puff-candy-drops-lemonade-cherry-shortfill-e-liquid-100ml,,46800000
pukka tea company,Navigational,390,23,0.48,1.00,0,96,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/prefilled-pod-vape-kits,,,,929000
purpled dream,Informational,390,36,0.00,0.00,0,0,23,0,0,,,https://www.vapeclub.co.uk/vape-pods/pixl/pixl-8000-refills/purple-dream-pixl-8000-refill-pack-pod,,,599000000
purpledream,"Informational, Transactional",390,7,0.00,0.00,0,0,6,0,0,,,https://www.vapeclub.co.uk/vape-pods/pixl/pixl-8000-refills/purple-dream-pixl-8000-refill-pack-pod,,,1040000
rda vape,Commercial,390,10,0.00,0.00,0,0,36,99,0,,,https://www.vapeclub.co.uk/vape-tanks/rebuildable-dripper-rda/,https://www.vapestore.co.uk/blogs/vaping-guides/rda-vs-rta-vaping-guide,,3780000
rechargeable disposable vape,Informational,390,16,0.00,0.00,0,12,23,9,11,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/vape-kits/big-puff/,https://www.vapestore.co.uk/pages/disposable-vape-ban-june,https://www.vapeshop.co.uk/blogs/news/disposable-vapes-verses-rechargeable-vapes,8
rechargeable vapes uk,Commercial,390,24,0.00,0.00,0,3,12,7,25,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeclub.co.uk/vape-kits/pen-style/,https://www.vapestore.co.uk/collections/vape-kits-mods-pod-vape-kits-refillable-pod-kits,https://www.vapeshop.co.uk/,1480000
redbox vape,"Commercial, Navigational",390,34,0.00,0.00,0,0,28,0,0,,,https://www.vapeclub.co.uk/,,,49
refill vape,"Commercial, Informational",390,22,0.00,0.00,0,7,1,3,39,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeclub.co.uk/vape-kits/refillable-pods/,https://www.vapestore.co.uk/collections/vape-kits-mods-pod-vape-kits-refillable-pod-kits,https://www.vapeshop.co.uk/collections/pixl-duo-12,12800000
refillable,Commercial,390,21,3.17,0.12,0,83,9,0,0,,https://vapeuk.co.uk/vape-coils-and-pods/refillable-vape-pods,https://www.vapeclub.co.uk/vape-kits/refillable-pods/,,,50600000
refillable pen,"Informational, Transactional",390,18,0.38,1.00,0,46,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,,,,10
refillable vape uk,Commercial,390,37,0.00,0.00,0,1,3,6,32,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeclub.co.uk/vape-kits/refillable-pods/,https://www.vapestore.co.uk/collections/vape-kits-mods-pod-vape-kits-refillable-pod-kits,https://www.vapeshop.co.uk/,2050000
relx pods,"Informational, Transactional",390,16,1.45,0.33,0,0,5,0,44,,,https://www.vapeclub.co.uk/vape-pods/relx/,,https://www.vapeshop.co.uk/collections/relx-vapes,7510000
right-e,"Informational, Transactional",390,57,0.00,0.00,0,24,0,0,0,,https://vapeuk.co.uk/how-to-choose-nicotine-strength,,,,5530000000
riot squad vape juice,Informational,390,17,0.00,0.00,0,13,1,4,9,,https://vapeuk.co.uk/e-liquids/riot-squad-punk-grenade-e-liquid,https://www.vapeclub.co.uk/e-liquids/riot-squad/,https://www.vapestore.co.uk/collections/brands-riot-squad,https://www.vapeshop.co.uk/collections/riot-squad,1240000
riot vapes,Navigational,390,22,0.00,0.00,0,8,2,5,16,,https://vapeuk.co.uk/vendors/riot-squad,https://www.vapeclub.co.uk/e-liquids/riot-squad/,https://www.vapestore.co.uk/collections/brands-riot-squad,https://www.vapeshop.co.uk/collections/riot-squad,1540000
royal mail track trace uk,Navigational,390,61,0.40,0.01,0,40,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,21700000
royal vape,Commercial,390,40,0.00,0.00,0,56,53,0,8,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeclub.co.uk/cart/,,https://www.vapeshop.co.uk/,24500000
rushberry,Informational,390,23,0.29,0.46,0,0,16,0,0,,,https://www.vapeclub.co.uk/nicotine-pouches/rush/berry-ice-rush-nic-pouch,,,32600
shop bape,Navigational,390,54,0.31,0.45,0,0,43,0,0,,,https://www.vapeclub.co.uk/,,,14800000
shops in havant town centre,Commercial,390,16,0.00,0.01,0,0,0,46,0,,,,https://www.vapestore.co.uk/,,916000
shops with next day delivery,"Commercial, Informational",390,39,0.66,0.99,0,0,53,0,0,,,https://www.vapeclub.co.uk/,,,501000000
siân berry,Informational,390,40,0.00,0.00,0,87,0,0,0,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pod-kit,,,,2320000
ske bar 600,Informational,390,13,0.00,0.10,0,3,2,7,24,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/crystal/ske-bar-pod-kit,https://www.vapestore.co.uk/collections/brands-ske-crystal-bar-disposable-vape-crystal-bar-prefilled-e-liquid-pods,https://www.vapeshop.co.uk/collections/ske-600-pro,2660000
ske vapes,Informational,390,22,0.00,0.00,0,9,2,15,20,,https://vapeuk.co.uk/vendors/ske,https://www.vapeclub.co.uk/vape-kits/crystal/,https://www.vapestore.co.uk/collections/brands-ske-crystal-bar-disposable-vape-crystal-bar-prefilled-e-liquid-pods,https://www.vapeshop.co.uk/collections/disposable-vape-kits,1780000
sky pods,Informational,390,15,3.62,1.00,0,0,64,0,0,,,https://www.vapeclub.co.uk/vape-pods/,,,44700000
smart ivg,Informational,390,23,0.00,0.00,0,2,7,17,38,,https://vapeuk.co.uk/ivg-smart-5500-refillable-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/vape-kits/ivg-vape/ivg-smart-max-vape-kit,https://www.vapestore.co.uk/collections/brands-ivg-smart-max-prefilled-pods,https://www.vapeshop.co.uk/collections/ivg-smart-max,1460000
smok alien,"Commercial, Informational",390,16,0.00,0.00,0,0,0,10,0,,,,https://www.vapestore.co.uk/products/alien-220-mod-smok,,976000
smok novo pro,"Commercial, Informational",390,14,0.00,0.00,0,3,1,2,35,,https://vapeuk.co.uk/smok-novo-pro-pod-vape-kit,https://www.vapeclub.co.uk/vape-pods/smok/smok-novo-pro-vape-kit,https://www.vapestore.co.uk/products/smok-novo-pro-pod-kit-30w,https://www.vapeshop.co.uk/collections/smok,1820000
smok uk,"Commercial, Informational",390,33,0.49,1.00,0,7,27,2,35,,https://vapeuk.co.uk/vendors/smok,https://www.vapeclub.co.uk/vape-kits/smok/,https://www.vapestore.co.uk/collections/brands-smok-smok-vape-kits,https://www.vapeshop.co.uk/,7270000
smoke purer,Navigational,390,22,0.00,0.03,0,0,0,59,0,,,,https://www.vapestore.co.uk/,,79
snoow,Informational,390,15,0.33,0.12,0,4,2,14,8,,https://vapeuk.co.uk/elf-bar-elfliq-nic-salt-cream-tobacco,https://www.vapeclub.co.uk/vape-pods/elfbar/elf-bar-600/snoow-tobacco-elf-bar-600-pod,https://www.vapestore.co.uk/products/snoow-tobacco-elfliq-nicsalt-10ml,https://www.vapeshop.co.uk/products/snoow-tobacco-elf-bar-elfa-pro-pods,171000
snowplus,Navigational,390,16,0.00,0.00,0,4,2,13,0,,https://vapeuk.co.uk/snowplus-clic-5000-disposable-vape-kit,https://www.vapeclub.co.uk/vape-pods/snowplus/,https://www.vapestore.co.uk/collections/brands-snowplus,,1240000
snowplus snap 5000,"Commercial, Informational",390,7,0.00,0.00,0,1,2,0,47,,https://vapeuk.co.uk/snowplus-snap-5000-disposable-vape-kit,https://www.vapeclub.co.uk/vape-kits/snowplus/snowplus-snap-5000-disposable-vape-kit,,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,63
snus pablo,"Informational, Transactional",390,8,0.00,0.00,0,97,0,0,0,,https://vapeuk.co.uk/pablo-nicotine-pouches,,,,1170000
sonder pods,"Commercial, Informational",390,7,0.16,0.46,0,3,38,25,0,,https://vapeuk.co.uk/geekvape-sonder-q-pod-vape-kit,https://www.vapeclub.co.uk/vape-pods/geekvape/geekvape-sonder-u-vape-kit,https://www.vapestore.co.uk/products/geekvape-sonder-q-pod-kit-20w,,1210000
sonder q2,Commercial,390,10,0.48,0.01,0,1,8,31,0,,https://vapeuk.co.uk/geekvape-sonder-q2-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/geekvape/geekvape-sonder-q-2-vape-kit,https://www.vapestore.co.uk/products/geek-vape-sonder-q-2-kit,,2810000
sore throat from vaping,Informational,390,16,0.00,0.00,0,58,0,0,0,,https://vapeuk.co.uk/help-centre/im-getting-a-dry--sore-throat-when-i-vape/,,,,3360000
spearmint london club,Informational,390,19,0.00,0.02,0,0,59,0,0,,,https://www.vapeclub.co.uk/e-liquids/ohm-brew/double-brew/double-brew-spearmint-nic-salt-e-liquid,,,401000
spearmint tea uk,"Commercial, Informational",390,16,0.72,1.00,0,86,85,0,0,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeclub.co.uk/,,,2970000
stages of stopping smoking,Informational,390,40,0.95,0.23,0,0,0,0,81,,,,,https://www.vapeshop.co.uk/blogs/news/quit-smoking-this-stoptober,151000000
strawberry ice vape,Informational,390,9,0.00,0.00,0,7,2,12,37,,https://vapeuk.co.uk/lost-mary-maryliq-strawberry-ice-nic-salt,https://www.vapeclub.co.uk/e-liquids/elfliq/elf-bar-strawberry-ice-nic-salt-e-liquid,https://www.vapestore.co.uk/products/bar-juice-5000-strawberry-ice-nic-salt-eliquid,https://www.vapeshop.co.uk/products/strawberry-ice-ivg-pro-12-refill-pack,12600000
strawberry vape,Informational,390,10,0.00,0.00,0,12,1,14,61,,https://vapeuk.co.uk/bar-series-sweet-strawberry-nic-salt,https://www.vapeclub.co.uk/vape-pods/strawberry-pods/,https://www.vapestore.co.uk/products/strawberry-flavour-concentrate-30ml-vampire-vape,https://www.vapeshop.co.uk/collections/strawberry-e-liquids,13700000
summer love in,Informational,390,49,0.00,0.00,0,0,23,0,0,,,https://www.vapeclub.co.uk/e-liquids/summer-love/,,,3780000000
sweet as cherry,,390,9,0.00,0.60,0,0,75,0,0,,,https://www.vapeclub.co.uk/e-liquids/88vape/cherry-sherbet-e-liquid-88vape-any-tank,,,362000000
telephone number for royal mail track and trace,Informational,390,58,0.00,0.00,0,95,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,15100000
terea cigs,Informational,390,23,0.00,0.00,0,32,0,0,15,,https://vapeuk.co.uk/iqos-terea-replacement-sticks,,,https://www.vapeshop.co.uk/collections/iqos,11500
terea green,"Commercial, Informational",390,13,0.00,0.08,0,0,0,0,9,,,,,https://www.vapeshop.co.uk/products/green-terea-for-iqos-iluma,2990000
terea starling pearl,Informational,390,9,0.00,0.01,0,0,0,0,21,,,,,https://www.vapeshop.co.uk/products/starling-pearl-for-iqos-iluma,0
terea yellow,Informational,390,11,0.00,0.01,0,0,0,0,6,,,,,https://www.vapeshop.co.uk/products/yellow-terea-for-iqos-iluma,2780000
the battery bars,Commercial,390,21,0.00,0.01,0,76,84,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/vape-kits/big-puff/,,,121000000
the brighton argus,Navigational,390,44,0.00,0.00,0,0,34,0,0,,,https://www.vapeclub.co.uk/,,,38
the gold bar,Commercial,390,26,0.00,0.04,0,56,12,22,64,,https://vapeuk.co.uk/vape-gold-s-gold-bar-reload-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/disposable-vape/gold-bar/gold-bar-el-dorado-disposable-vape,https://www.vapestore.co.uk/collections/brands-vape-gold-gold-bar,https://www.vapeshop.co.uk/collections/gold-bar-apollo,1880000000
the pod newport,Navigational,390,28,0.00,0.00,0,0,0,0,69,,,,,https://www.vapeshop.co.uk/,4210000
the vape superstore,"Commercial, Navigational",390,47,0.00,0.00,0,0,17,4,29,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,87
time 2 vape,Navigational,390,24,0.00,0.00,0,70,23,0,37,,https://vapeuk.co.uk/zeus-juice-bar-liq-minty-menthol-nic-salt,https://www.vapeclub.co.uk/,,https://www.vapeshop.co.uk/collections/disposable-vape-kits,96
titan 10k vape pods,"Commercial, Informational",390,6,0.00,0.00,0,11,5,1,91,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/vape-pods/titan-vape/,https://www.vapestore.co.uk/collections/brands-titan-prefilled-pods,https://www.vapeshop.co.uk/,654000
titan bar,Commercial,390,16,0.00,0.09,0,39,26,0,75,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/disposable-vape/titan/,,https://www.vapeshop.co.uk/collections/titan-e-liquids,128000000
titan battery,"Informational, Transactional",390,16,0.98,1.00,0,0,80,0,0,,,https://www.vapeclub.co.uk/vape-kits/big-puff/,,,10
titan oil tanks,Commercial,390,3,1.19,1.00,0,68,0,0,0,,https://vapeuk.co.uk/,,,,77
top e cigarettes,"Commercial, Informational",390,29,0.00,0.00,0,2,53,18,0,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/vape-kits-mods-vape-kits,,61900000
track 24 royal mail,"Informational, Transactional",390,37,0.49,0.04,0,13,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,129000000
track next order,"Navigational, Transactional",390,34,0.67,0.00,0,0,70,0,0,,,https://www.vapeclub.co.uk/members/myAccount/orderHistory/,,,2460000000
tracking next order,"Navigational, Transactional",390,35,0.00,0.00,0,0,93,0,0,,,https://www.vapeclub.co.uk/members/myAccount/orderHistory/,,,1480000000
uk vape world reviews,"Commercial, Navigational",390,22,0.00,0.00,0,30,19,0,0,,https://vapeuk.co.uk/reviews,https://www.vapeclub.co.uk/,,,100
ul basingstoke,"Navigational, Transactional",390,41,0.00,0.08,0,0,0,74,0,,,,https://www.vapestore.co.uk/,,1120000
ultimate juice,Navigational,390,18,0.00,0.02,0,0,0,7,0,,,,https://www.vapestore.co.uk/collections/brands-ultimate-puff,,339000000
unreal iii,Informational,390,32,0.00,0.04,0,0,65,0,0,,,https://www.vapeclub.co.uk/e-liquids/unreal-raspberry/unreal-3-pineapple-lemon-lime-nic-salt-e-liquid,,,12000000
usb cable usb,"Informational, Transactional",390,8,0.45,1.00,0,97,0,0,0,,https://vapeuk.co.uk/eleaf-qc-3-0-usb-charging-cable,,,,340000000
vaoe shop,Commercial,390,93,0.00,0.00,0,2,3,4,1,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,114000000
vape 888,Commercial,390,16,0.00,0.00,0,0,18,27,0,,,https://www.vapeclub.co.uk/vape-pods/88vape-kits/88vape-quad-pod-kit,https://www.vapestore.co.uk/collections/brands-88vape-eliquid,,4260000
vape ahop,Commercial,390,92,0.00,0.00,0,3,4,2,1,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,48400000
vape and go uk,Navigational,390,72,0.00,0.00,0,6,10,13,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,,75100000
vape ban update,Informational,390,29,0.00,0.00,0,21,53,0,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,22300000
vape battery charger,"Informational, Transactional",390,6,0.00,0.00,0,27,14,13,7,,https://vapeuk.co.uk/vape-accessories/vape-chargers-cables-plugs,https://www.vapeclub.co.uk/vape-batteries/battery-chargers/,https://www.vapestore.co.uk/collections/accessories-batteries-battery-chargers,https://www.vapeshop.co.uk/collections/chargers,9600000
vape cigarette,Informational,390,72,0.00,0.00,0,12,58,14,72,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/vape-kits,47700000
vape club voucher code,Informational,390,7,0.00,0.00,0,35,4,20,0,,https://vapeuk.co.uk/rewards/spending-loyalty-points,https://www.vapeclub.co.uk/members/join/,https://www.vapestore.co.uk/pages/vape-discount-codes,,92
vape crystal,"Commercial, Informational",390,15,0.00,0.00,0,10,2,6,5,,https://vapeuk.co.uk/ske-crystal-plus-refillable-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/crystal/,https://www.vapestore.co.uk/collections/brands-ske-crystal-bar-crystal-plus,https://www.vapeshop.co.uk/collections/disposable-vape-kits,15500000
vape deals uk,Commercial,390,51,0.00,0.00,0,2,9,11,26,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/outlet-cheap-vape-kits,https://www.vapeshop.co.uk/,69100000
vape devices,Commercial,390,30,0.00,0.00,0,15,42,11,3,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/vape-kits-free-e-liquid-bundles,https://www.vapeshop.co.uk/collections/vape-kits,34900000
vape go,"Commercial, Navigational",390,68,0.00,0.00,0,13,6,9,14,,https://vapeuk.co.uk/innokin-go-z-kit,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/products/vuse-go-reload-vape-pen,170000000
vape hayati,"Commercial, Informational",390,16,0.00,0.00,0,11,9,17,1,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hayati-pods/,https://www.vapestore.co.uk/collections/brands-hayati-hayati-e-liquid,https://www.vapeshop.co.uk/collections/hayati,1410000
vape liquid flavour,"Commercial, Informational",390,46,0.00,0.00,0,13,7,4,17,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/,https://www.vapestore.co.uk/collections/e-liquid,https://www.vapeshop.co.uk/pages/e-liquid-flavours,7880000
